Hospital Name,City,State Code,Zip Code,County,Rural Versus Urban,CCN Facility Type,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Number of Beds + Total for all Subproviders,Total Bad Debt Expense,Total Unreimbursed and Uncompensated Care,Total Costs,Combined Outpatient + Inpatient Total Charges,Less Total Operating Expense,Cost To Charge Ratio,Net Patient Revenue,Net Income from Service to Patients,Net Income,Staff Per Bed,Clinical Operating Margin,Net Revenue Per Bed,State Name,Operating Expense Ratio,Size Category
GARRETT COUNTY MEMORIAL HOSPITAL,OAKLAND,MD,21550,,R,STH,1,2,2023-01-01,2023-12-31,397.17,5234.0,20.0,7300.0,1380.0,30.0,1579678.0,1982015.0,55532612.0,92741000.0,72886548.0,0.598792,82036086.0,9149538.0,12969669.0,13.239,0.11153065006051117,2734536.2,Maryland,0.8884693499394888,Small
VIBRA HOSP OF SOUTHEASTERN MASS,NEW BEDFORD,MA,02745,BRISTOL,U,LTCH,2,4,2023-01-01,2023-12-31,139.31,17303.0,90.0,32850.0,480.0,90.0,,,28108983.0,131961910.0,27587571.0,,26032782.0,-1554789.0,-1236942.0,1.5478888888888889,-0.05972427380216221,289253.13333333336,Massachusetts,1.0597242738021622,Medium
NORTHFIELD CITY HOSPITAL,NORTHFIELD,MN,55057-1697,DAKOTA,U,STH,1,8,2023-01-01,2023-12-31,586.97,5167.0,37.0,13505.0,1572.0,37.0,2434865.0,4640889.0,86718045.0,272252609.0,144805319.0,0.318521,132318709.0,-12486610.0,-8118461.0,15.864054054054055,-0.09436768310670263,3576181.3243243243,Minnesota,1.0943676831067026,Small
MERCY REHABILITATION HOSPITAL ST. LO,CHESTERFIELD,MO,63017,SAINT LOUIS,U,RH,5,5,2023-01-01,2023-12-31,16.1,22748.0,90.0,32850.0,1858.0,90.0,,,35445108.0,63298203.0,34339442.0,,45910607.0,11571165.0,11755009.0,0.1788888888888889,0.2520368550126118,510117.85555555555,Missouri,0.7479631449873883,Medium
MERCY REHABILITATION HOSPITAL SPRING,SPRINGFIELD,MO,65804,GREENE,U,RH,5,5,2023-01-01,2023-12-31,128.78,15624.0,60.0,21900.0,1430.0,60.0,,,20778670.0,35126626.0,20728722.0,,27108602.0,6379880.0,6443071.0,2.146333333333333,0.2353452236304919,451810.0333333333,Missouri,0.7646547763695081,Small
MERCY REHABILITATION HOSPITAL ST. LO,ST. LOUIS,MO,63128,SAINT LOUIS,U,RH,5,5,2022-12-22,2023-12-31,85.43,9820.0,50.0,18750.0,920.0,50.0,,,18829224.0,37692693.0,17566321.0,,20916490.0,3350169.0,3607005.0,1.7086000000000001,0.16016879505117732,418329.8,Missouri,0.8398312049488227,Small
NEBRASKA METHODIST HOSPITAL,OMAHA,NE,68114-,DOUGLAS,U,STH,1,2,2023-01-01,2023-12-31,3046.18,109025.0,363.0,132495.0,19812.0,381.0,13131816.0,26984088.0,553915630.0,1819804831.0,673704645.0,0.304382,680630000.0,6925355.0,110324000.0,7.99522309711286,0.01017491882520606,1786430.4461942257,Nebraska,0.989825081174794,Large
METHODIST FREMONT HEALTH,FREMONT,NE,68025,DODGE,R,STH,1,2,2023-01-01,2023-12-31,1.0,9134.0,50.0,18250.0,2958.0,176.0,4798746.0,11546840.0,115958610.0,402624380.0,127117373.0,0.288007,144944802.0,17827429.0,29689155.0,0.005681818181818182,0.12299460728505462,823550.0113636364,Nebraska,0.8770053927149454,Medium
SIDNEY REGIONAL MEDICAL CENTER,SIDNEY,NE,69162-,CHEYENNE,R,CAH,1,2,2023-01-01,2023-12-31,264.93,1802.0,19.0,6935.0,481.0,19.0,1931999.0,3275434.0,56383497.0,104693848.0,70649324.0,0.538556,67588415.0,-3060909.0,8964315.0,13.943684210526316,-0.045287480110311806,3557285.0,Nebraska,1.0452874801103118,Small
CARSON TAHOE REGIONAL HEALTHCARE,CARSON CITY,NV,89702,CARSON CITY,U,STH,1,2,2023-01-01,2023-12-31,1125.0,50500.0,175.0,63875.0,10641.0,211.0,20805657.0,15379812.0,298625484.0,1473763380.0,336323444.0,0.202628,359182636.0,22859192.0,49972302.0,5.331753554502369,0.06364225246122421,1702287.374407583,Nevada,0.9363577475387758,Medium
CAPE REGIONAL MEDICAL CENTER,CAPE MAY COURT HOUSE,NJ,08210,CAPE MAY,U,STH,1,2,2023-01-01,2023-12-31,673.92,26047.0,149.0,54385.0,5468.0,149.0,989777.0,9620435.0,139279158.0,921383179.0,147073552.0,0.151163,130402745.0,-16670807.0,-695010.0,4.522953020134228,-0.12784092083337664,875186.2080536913,New Jersey,1.1278409208333766,Medium
ROBERT WOOD JOHNSON UNIV HOSP @ SOM,SOMERVILLE,NJ,08876,SOMERSET,U,STH,1,2,2023-01-01,2023-12-31,1536.0,70925.0,332.0,121180.0,13814.0,332.0,15704581.0,34534013.0,351923680.0,2202027398.0,401874711.0,0.159818,374728532.0,-27146179.0,-16285024.0,4.626506024096385,-0.0724422526758651,1128700.3975903615,New Jersey,1.072442252675865,Large
BERGEN NEW BRIDGE MEDICAL CENTER,PARAMUS,NJ,07652,BERGEN,U,STH,1,9,2023-01-01,2023-12-31,1723.36,17327.0,107.0,39055.0,4452.0,939.0,14098844.0,69953191.0,231980815.0,930737742.0,309224724.0,0.249244,166245752.0,-142978972.0,2632358.0,1.8353141640042598,-0.8600458675178659,177045.52928647498,New Jersey,1.860045867517866,Large
MARLTON REHAB HOSPITAL,MARLTON,NJ,08053,BURLINGTON,U,RH,5,4,2023-01-01,2023-12-31,209.59,21383.0,61.0,22265.0,1573.0,61.0,,,34990969.0,132340861.0,35557401.0,,41124692.0,5567291.0,5945925.0,3.4359016393442623,0.13537587102172097,674175.2786885246,New Jersey,0.864624128978279,Small
HMH CARRIER CLINIC,BELLE MEAD,NJ,08502,SOMERSET,U,PH,4,2,2023-01-01,2023-12-31,755.54,56744.0,232.0,84680.0,3535.0,232.0,,,75179105.0,195788950.0,94272923.0,,88696564.0,-5576359.0,952649.0,3.2566379310344824,-0.06287006788673347,382312.775862069,New Jersey,1.0628700678867335,Medium
REHABILITATION HOSPITAL OF SOUTHERN,LAS CRUCES,NM,88011,DONA ANA,U,RH,5,4,2023-01-01,2023-12-31,150.83,12803.0,40.0,14600.0,885.0,40.0,,,17435234.0,34366746.0,18947809.0,,22288309.0,3340500.0,3427656.0,3.7707500000000005,0.14987678069251462,557207.725,New Mexico,0.8501232193074854,Small
WYOMING COUNTY COMMUNITY HOSPITAL,WARSAW,NY,14569,WYOMING COUNTY,R,STH,1,9,2023-01-01,2023-12-31,376.32,4853.0,47.0,17155.0,1244.0,197.0,1083878.0,4700141.0,70537578.0,122733216.0,83998317.0,0.574723,67518116.0,-16480201.0,2674272.0,1.9102538071065989,-0.24408561696241643,342731.5532994924,New York,1.2440856169624164,Medium
LENOX HILL HOSPITAL,NEW YORK,NY,10075,,R,STH,1,2,2023-01-01,2023-12-31,5705.6,114323.0,415.0,151475.0,27881.0,442.0,1335034.0,82973673.0,1177648411.0,5113877410.0,1916810275.0,0.230285,1438757085.0,-478053190.0,46779523.0,12.908597285067874,-0.3322681743735775,3255106.527149321,New York,1.3322681743735774,Large
MONTEFIORE NEW ROCHELLE HOSPITAL,NEW ROCHELLE,NY,10802,WESTCHESTER,R,STH,1,2,2023-01-01,2023-12-31,938.4,29740.0,141.0,51465.0,5150.0,291.0,3287079.0,17493904.0,181716182.0,552623078.0,234447902.0,0.328825,162747839.0,-71700063.0,-49366000.0,3.224742268041237,-0.4405592322488534,559270.9243986254,New York,1.4405592322488534,Large
MATHER HOSPITAL,PORT JEFFERSON,NY,11777,SUFFOLK,U,STH,1,2,2023-01-01,2023-12-31,1990.6,42957.0,195.0,67498.0,9048.0,248.0,4906617.0,13292770.0,392368171.0,1615906616.0,425130211.0,0.242816,394023793.0,-31106418.0,1063420.0,8.026612903225805,-0.07894553210394581,1588805.6169354839,New York,1.0789455321039458,Medium
GLENS FALLS HOSPITAL,GLENS FALLS,NY,12801,WARREN,U,STH,1,2,2023-01-01,2023-12-31,1733.62,55855.0,391.0,142715.0,10963.0,391.0,8533921.0,34104091.0,371844083.0,989974185.0,418506807.0,0.37561,363748525.0,-54758282.0,-14816661.0,4.433810741687979,-0.1505388427348262,930303.1329923273,New York,1.1505388427348262,Large
CANTON-POTSDAM HOSPITAL,POTSDAM,NY,13676,SAINT LAWRENCE,R,STH,1,2,2023-01-01,2023-12-31,1143.0,24562.0,94.0,34310.0,4185.0,94.0,1162314.0,4656260.0,186769705.0,504607135.0,255922452.0,0.370129,249786786.0,-6135666.0,2370337.0,12.159574468085106,-0.024563613224920552,2657306.234042553,New York,1.0245636132249205,Medium
NATHAN LITTAUER HOSPITAL & NURSING H,GLOVERSVILLE,NY,12078,FULTON,R,STH,1,2,2023-01-01,2023-12-31,710.0,8796.0,57.0,20805.0,2080.0,141.0,5180277.0,13971236.0,111822549.0,364613264.0,131421969.0,0.306688,106188351.0,-25233618.0,-10733913.0,5.035460992907802,-0.2376307548085006,753108.8723404255,New York,1.2376307548085006,Medium
GARNET HEALTH MEDICAL CENTER - CATSK,HARRIS,NY,12742,SULLIVAN,R,STH,1,2,2023-01-01,2023-12-31,435.16,12301.0,76.0,27740.0,2815.0,94.0,3813056.0,8031806.0,82428797.0,468409573.0,100754250.0,0.175976,77684162.0,-23070088.0,-13552457.0,4.629361702127659,-0.2969728630142139,826427.2553191489,New York,1.2969728630142139,Medium
UHS HOSPITALS,BINGHAMTON,NY,13903,BROOME,R,STH,1,2,2023-01-01,2023-12-31,4033.59,87427.0,329.0,120085.0,13322.0,400.0,9356684.0,64882481.0,685735295.0,1936591101.0,987652834.0,0.354094,789737307.0,-197915527.0,-7556234.0,10.083975,-0.25060931685224286,1974343.2675,New York,1.250609316852243,Large
EPISCOPAL HEALTH SERVICES,FAR ROCKAWAY,NY,11691,QUEENS,R,STH,1,2,2023-01-01,2023-12-31,1544.59,50914.0,140.0,51100.0,8461.0,183.0,6298416.0,28388806.0,307340448.0,815414923.0,381047606.0,0.376913,238874000.0,-142173606.0,9638575.0,8.440382513661202,-0.5951824225323811,1305322.4043715848,New York,1.5951824225323812,Medium
GARNET HEALTH MEDICAL CENTER - CATSK,CALLICOON,NY,12742,SULLIVAN,R,CAH,1,2,2023-01-01,2023-12-31,33.07,1015.0,15.0,5475.0,35.0,15.0,297790.0,1503870.0,10675873.0,41070132.0,4957298.0,0.259943,9710738.0,4753440.0,5185275.0,2.2046666666666668,0.4895034754310126,647382.5333333333,New York,0.5104965245689874,Small
DELAWARE VALLEY HOSPITAL,WALTON,NY,13856,DELAWARE,R,CAH,1,2,2023-01-01,2023-12-31,150.1,3682.0,25.0,9125.0,166.0,25.0,1281078.0,2776806.0,25801154.0,67620345.0,33421685.0,0.381559,33044148.0,-377537.0,9832086.0,6.004,-0.011425230270727513,1321765.92,New York,1.0114252302707276,Small
LEWIS COUNTY GENERAL HOSPITAL,LOWVILLE,NY,13367,LEWIS,R,CAH,1,9,2023-01-01,2023-12-31,366.56,3985.0,25.0,9125.0,750.0,185.0,1467012.0,6725300.0,75478847.0,177185179.0,22907223.0,0.425988,84095884.0,61188661.0,70120181.0,1.9814054054054053,0.7276058956702328,454572.34594594594,New York,0.2723941043297672,Medium
ROXBURY PSYCHIATRIC HOSPITAL,SHIPPENSBURG,PA,17257,FRANKLIN,R,PH,4,4,2023-01-01,2023-12-31,105.02,32280.0,112.0,40880.0,1149.0,112.0,,,11514716.0,52573953.0,14332262.0,,19229569.0,4897307.0,6115003.0,0.9376785714285714,0.2546758588297013,171692.58035714287,Pennsylvania,0.7453241411702988,Medium
HARDEMAN COUNTY HOSPITAL,QUANAH,TX,79252,HARDEMAN,R,CAH,1,11,2023-01-01,2023-12-31,75.64,765.0,24.0,8760.0,104.0,24.0,499276.0,1462173.0,11690320.0,10997894.0,11785557.0,1.06296,8631236.0,-3154321.0,110532.0,3.151666666666667,-0.3654541481660332,359634.8333333333,Texas,1.3654541481660332,Small
HOUSTON BEHAVIORAL HEALTHCARE,HOUSTON,TX,77080,HARRIS,U,PH,4,4,2023-01-01,2023-12-31,321.34,49949.0,163.0,59495.0,5855.0,163.0,,,31720952.0,104948566.0,34998674.0,,37753541.0,2754867.0,2798587.0,1.971411042944785,0.07296976461095397,231616.81595092025,Texas,0.927030235389046,Medium
GOOD SAMARITAN HOSPITAL,PUYALLUP,WA,98371,PIERCE,U,STH,1,2,2023-01-01,2023-12-31,1906.91,110867.0,318.0,116070.0,18235.0,366.0,22161979.0,85893128.0,562374409.0,2476608050.0,704000288.0,0.227074,637347328.0,-66652960.0,-45069926.0,5.210136612021858,-0.10457870782820634,1741386.1420765028,Washington,1.1045787078282063,Large
TACOMA GENERAL ALLENMORE HOSPITAL,TACOMA,WA,98415-0299,PIERCE,U,STH,1,2,2023-01-01,2023-12-31,2897.05,134001.0,360.0,144210.0,21536.0,387.0,23540140.0,143421785.0,1073627470.0,4730725395.0,1289727059.0,0.226948,1321558131.0,31831072.0,115188112.0,7.485917312661499,0.024086017295292174,3414878.891472868,Washington,0.9759139827047079,Large
CAPITAL MEDICAL CENTER,OLYMPIA,WA,98502,THURSTON,U,STH,1,4,2023-01-01,2023-12-31,469.65,15375.0,107.0,39055.0,4444.0,107.0,2939616.0,18779081.0,152615948.0,816183524.0,160229595.0,0.186987,135494918.0,-24734677.0,-18004812.0,4.389252336448598,-0.1825505883549079,1266307.6448598132,Washington,1.182550588354908,Medium
MULTICARE COVINGTON MEDICAL CENTER,COVINGTON,WA,98042,KING,U,STH,1,2,2023-01-01,2023-12-31,285.51,8644.0,57.0,20805.0,2261.0,57.0,4625191.0,17808394.0,76305634.0,379959021.0,96432141.0,0.200826,93352935.0,-3079206.0,3158409.0,5.008947368421053,-0.03298456550937579,1637770.7894736843,Washington,1.032984565509376,Small
CASCADE MEDICAL CENTER,LEAVENWORTH,WA,98826,CHELAN,R,CAH,1,11,2023-01-01,2023-12-31,125.8,1157.0,9.0,3285.0,70.0,9.0,1036928.0,3248670.0,27921274.0,32424217.0,29530772.0,0.861124,25402503.0,-4128269.0,-75125.0,13.977777777777778,-0.16251426089783358,2822500.3333333335,Washington,1.1625142608978336,Small
SKYLINE HOSPITAL,WHITE SALMON,WA,98672,KLICKITAT,R,CAH,1,11,2023-01-01,2023-12-31,111.11,1963.0,14.0,5110.0,201.0,14.0,841303.0,1667234.0,24169742.0,38364611.0,26583365.0,0.630001,23946115.0,-2637250.0,303132.0,7.936428571428571,-0.1101326874944015,1710436.7857142857,Washington,1.1101326874944015,Small
QUINCY VALLEY MEDICAL CENTER,QUINCY,WA,98848,GRANT,R,CAH,1,11,2023-01-01,2023-12-31,47.06,235.0,10.0,3650.0,73.0,10.0,742798.0,661930.0,12769259.0,20906792.0,14902219.0,0.610771,12794103.0,-2108116.0,4208238.0,4.706,-0.16477247369354459,1279410.3,Washington,1.1647724736935445,Small
SNOQUALMIE VALLEY HOSPITAL,SNOQUALMIE,WA,98065-,KING,R,CAH,1,11,2023-01-01,2023-12-31,166.25,7451.0,25.0,9125.0,77.0,25.0,987737.0,2896516.0,51031811.0,78499818.0,53720892.0,0.650088,50707595.0,-3013297.0,2739966.0,6.65,-0.0594249638540341,2028303.8,Washington,1.059424963854034,Small
CHI FRANCISCAN REHABILITATION HOSPIT,TACOMA,WA,98465,PIERCE,U,RH,5,5,2023-01-01,2023-12-31,112.7,14174.0,60.0,21900.0,1102.0,60.0,,-1776.0,23166925.0,61035654.0,23792622.0,0.379564,31274142.0,7481520.0,7717602.0,1.8783333333333334,0.23922382906619788,521235.7,Washington,0.7607761709338021,Small
AURORA MED CTR OF MANITOWOC COUNTY,TWO RIVERS,WI,54241-2399,MANITOWOC,R,STH,1,2,2023-01-01,2023-12-31,262.67,6691.0,63.0,22995.0,1747.0,63.0,2892935.0,6756270.0,64764139.0,318542339.0,76557781.0,0.203314,100534952.0,23977171.0,25244764.0,4.16936507936508,0.23849587156514482,1595792.888888889,Wisconsin,0.7615041284348552,Small
WESTFIELDS HOSPITAL,NEW RICHMOND,WI,54017,ST. CROIX,R,CAH,1,2,2023-01-01,2023-12-31,320.83,3702.0,25.0,9125.0,1054.0,25.0,1760704.0,12068677.0,64247945.0,141754131.0,89377169.0,0.453235,92576568.0,3199399.0,7530711.0,12.8332,0.03455949025891735,3703062.72,Wisconsin,0.9654405097410826,Small
THEDACARE MEDICAL CENTER - SHAWANO,SHAWANO,WI,54166,SHAWANO,R,CAH,1,2,2023-01-01,2023-12-31,336.36,4197.0,23.0,8395.0,1251.0,23.0,15452330.0,6244059.0,65042143.0,207478580.0,80546015.0,0.313488,91497995.0,10951980.0,11678916.0,14.624347826086957,0.11969639334719848,3978173.695652174,Wisconsin,0.8803036066528015,Small
THEDACARE-BERLIN,BERLIN,WI,54923,GREEN LAKE,R,CAH,1,2,2023-01-01,2023-12-31,253.37,2878.0,25.0,9125.0,880.0,62.0,10971651.0,6401026.0,54502928.0,148709969.0,58411580.0,0.366505,55769326.0,-2642254.0,-2287724.0,4.086612903225807,-0.0473782666837322,899505.2580645161,Wisconsin,1.0473782666837321,Small
MESQUITE REHABILITATION INSTITUTE,MESQUITE,TX,75149,DALLAS,U,RH,5,4,2023-01-01,2023-12-31,76.39,9692.0,30.0,10950.0,628.0,30.0,,,15668217.0,21599855.0,13775198.0,,16818937.0,3043739.0,3048186.0,2.5463333333333336,0.18097094959092838,560631.2333333333,Texas,0.8190290504090716,Small
